driverId,week,hours-logged,miles-logged
23,4,67,1300
91,45,51,2600
83,36,74,2400
42,25,60,1500
58,45,52,1100
82,4,74,1600
44,31,79,2200
92,24,59,1000
99,33,74,3400
36,21,70,2700
96,2,63,1000
36,39,75,1500
37,31,78,600
43,19,50,1800
27,6,60,2600
73,34,59,2500
77,18,78,3100
33,1,62,3800
53,51,78,3200
49,3,78,1800
101,29,72,3800
76,27,73,2800
89,3,72,3300
64,50,60,1800
53,17,54,3300
68,1,72,1700
109,24,57,3400
39,32,79,2100
49,9,51,1900
105,28,54,3400
38,42,52,3400
20,31,67,500
39,37,73,500
24,41,67,0
41,20,65,3500
47,38,65,2900
89,34,69,3200
58,10,75,200
45,8,53,3000
66,2,57,400
20,50,56,900
95,45,61,800
34,37,78,3000
74,31,75,3100
71,25,67,0
86,10,56,400
44,43,57,2100
47,17,69,1500
94,12,77,1000
43,26,70,2300
47,18,56,3700
96,16,75,1500
104,36,80,3700
93,32,75,3600
42,46,60,3800
77,13,59,1400
27,31,65,3900
59,34,65,500
46,4,74,1800
38,3,53,4000
97,49,55,2600
26,8,68,700
18,20,50,1000
16,51,71,400
37,38,75,3100
48,37,58,200
100,9,66,1300
47,21,70,1100
33,47,68,3100
80,5,57,2800
91,40,61,2900
102,46,80,3700
103,45,76,3900
78,42,69,1800
101,46,62,1700
102,52,77,300
19,22,62,1200
104,41,68,3600
92,2,54,3500
55,3,69,2900
33,50,71,600
67,21,72,3300
14,25,69,2300
42,29,58,3400
69,8,64,3500
109,47,71,3000
90,36,78,3500
98,30,76,2100
76,12,78,1500
55,36,74,2800
106,8,77,2300
78,12,54,3800
84,37,76,800
39,19,52,1600
54,12,58,300
45,21,66,2000
28,4,56,500
88,22,73,800
84,33,66,1900
62,9,50,3900
83,41,62,1500
18,22,67,2900
89,41,64,3800
37,4,70,2100
45,35,74,3600
43,51,50,1600
77,33,60,3900
12,9,66,1900
65,29,73,2800
63,38,57,2800
26,40,77,3100
30,2,63,1300
90,9,59,3100
66,18,53,2800
103,24,66,1900
25,19,50,200
67,43,53,900
37,15,71,2800
90,11,79,1300
107,9,71,3100
56,5,53,2700
25,22,72,3600
81,6,68,2700
57,19,75,0
78,12,73,1600
19,11,54,2300
27,9,67,300
25,36,50,1200
98,46,69,1900
56,7,76,500
22,12,79,3600
95,36,74,1000
67,4,79,3200
14,1,59,2400
45,12,73,3800
53,5,69,100
44,44,51,2500
64,42,51,300
44,30,51,3800
51,15,56,200
47,26,53,2300
97,12,52,400
69,19,55,300
36,1,78,800
25,30,79,4000
45,20,65,3600
49,9,67,1000
87,16,71,3800
42,39,64,2600
48,1,74,3500
62,13,58,1800
11,28,79,600
15,46,54,3100
13,31,56,600
73,7,57,2000
77,48,72,3600
51,49,64,4000
72,21,76,2500
73,34,51,500
19,38,62,2900
60,52,52,100
55,48,77,1100
69,18,50,3200
40,7,63,1100
106,24,57,800
109,21,50,3700
42,24,64,100
83,35,74,3400
38,24,65,200
12,32,61,900
61,12,64,2900
31,31,74,1600
68,20,58,3800
75,43,65,3600
106,21,62,3900
39,19,72,500
74,40,54,1700
89,12,64,2700
49,52,69,700
78,41,71,1800
40,2,53,600
54,40,55,3900
84,9,79,600
101,17,63,800
28,20,58,2700
42,33,64,3500
28,29,58,100
79,47,57,1900
19,10,68,800
86,3,73,3200
43,51,69,700
51,36,62,3800
32,8,66,1100
54,24,80,3700
26,18,74,500
76,44,75,1500
60,35,64,3000
87,23,74,3100
87,4,71,1900
98,7,70,100
55,31,64,2700
77,19,57,300
60,35,77,0
95,1,67,1200
97,4,56,900
32,21,56,3600
108,46,63,1100
64,10,76,2700
75,22,50,2800
43,51,71,3300
13,45,51,300
28,6,74,3300
52,8,76,3700
15,3,50,2000
15,20,59,4000
38,18,52,3200
23,25,74,3100
21,42,71,1400
44,50,74,1200
28,36,63,2900
107,43,67,3700
44,21,70,1100
18,11,76,1400
47,12,70,2300
71,52,64,3200
58,39,73,4000
23,39,62,3000
50,20,69,1800
80,8,52,3500
93,36,69,3600
31,20,53,3000
103,40,64,2400
98,28,53,1700
82,43,63,1200
31,43,73,2700
24,12,56,3900
80,18,72,2800
82,9,77,400
95,44,67,2200
87,11,71,600
29,23,52,900
19,45,57,700
15,43,79,3800
89,42,75,1000
99,52,54,3800
107,15,53,600
18,32,72,2400
40,11,53,3200
73,50,77,100
77,46,64,3600
88,15,60,3300
90,34,78,1400
64,40,68,700
30,3,65,2200
69,40,54,3900
37,36,67,3100
23,12,62,2800
71,11,71,1100
24,10,59,700
40,33,70,2900
92,45,55,2700
95,39,68,1500
88,17,59,3800
33,37,63,2400
95,50,73,200
66,38,60,2000
108,40,65,2700
62,33,60,3300
99,33,52,2200
37,8,72,2400
55,38,55,3500
19,7,73,2100
90,45,55,2500
14,6,55,2100
54,29,63,1500
56,42,59,100
67,32,57,2500
91,9,62,2900
18,29,61,3300
70,34,77,1200
101,29,65,2400
64,36,50,2300
100,46,79,3900
74,20,64,900
94,51,72,1300
83,6,64,3300
62,31,64,2100
29,28,50,2000
82,12,50,3500
91,43,74,2900
76,15,55,800
41,5,79,2400
95,19,64,700
18,37,55,300
67,50,69,1200
109,28,60,3900
108,13,69,2000
22,26,71,4000
69,49,70,1800
75,26,68,3200
27,47,79,3400
98,9,80,700
43,42,74,2200
17,43,56,200
102,44,77,1300
16,5,51,3900
26,24,55,1000
23,36,74,3100
20,10,74,2000
27,33,77,1500
10,15,80,2800
70,29,61,2000
83,51,72,3900
100,49,56,4000
100,38,75,1400
83,11,68,1800
75,4,67,2100
16,42,70,1100
80,19,54,1600
64,24,62,2300
92,44,71,500
74,26,64,3200
38,3,52,0
47,9,53,3500
61,8,58,2900
15,41,69,2900
18,27,52,3400
71,24,68,1100
53,18,74,3300
88,37,78,2900
98,43,70,2800
38,20,52,1700
98,23,73,2300
86,28,60,2000
28,21,69,500
80,6,78,700
55,52,50,3600
35,44,54,1600
102,41,78,3700
38,38,77,2900
103,35,78,100
19,49,62,2000
31,3,64,300
93,19,61,2700
94,29,57,3300
13,32,71,100
90,29,53,2300
62,36,69,3800
87,26,79,3700
64,39,57,1000
78,30,71,2100
109,1,64,2300
80,37,79,2800
102,35,80,1200
18,48,75,1500
28,43,80,3100
103,1,72,0
49,30,65,1000
16,13,51,1800
74,40,59,600
23,24,76,1900
67,12,76,2600
34,6,74,0
24,8,54,1600
94,26,65,1300
41,25,66,3500
28,14,53,2300
39,29,57,100
76,49,72,600
27,24,66,700
76,47,63,1200
100,3,72,2300
109,17,67,1500
100,46,73,2600
93,16,71,2800
22,11,75,1400
98,3,70,1300
84,36,50,2000
106,34,54,2900
102,36,63,1700
46,26,54,3200
75,43,70,2300
70,38,60,1900
81,10,53,2400
76,7,75,3700
43,46,59,200
27,46,57,900
78,5,73,500
16,44,72,400
68,32,69,600
77,32,52,2800
75,16,70,1100
24,35,78,4000
47,24,66,1000
16,18,69,500
107,18,77,3500
87,17,74,2100
85,47,51,2400
90,36,50,900
60,5,53,3000
56,44,58,500
103,48,64,3900
75,13,55,2900
100,24,73,1900
56,7,60,3900
19,19,75,2700
97,41,60,2600
48,38,80,2900
104,36,64,1400
26,18,53,3300
50,30,76,3500
94,10,53,4000
16,40,59,1800
99,2,54,200
10,32,69,2200
43,5,61,2000
36,40,63,3400
45,16,79,600
95,5,64,2600
43,23,62,3500
89,8,75,1400
74,1,73,3500
17,1,56,3900
43,24,72,3200
88,38,65,1100
84,27,50,3600
12,27,55,900
39,28,57,3100
94,34,72,2800
72,18,71,1400
105,19,64,2300
36,31,80,3100
